species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Barbastellus barbastellus,0.092,0.225,0.0435,0.0508,,1aabd9ac-929a-4d1d-8a71-ea900b0efbc1
Eptesicus serotinus,0.123,0.209,0.2985,0.3091,,316ab110-4d1f-415a-8d15-7e374c8c4639
Eptesicus serotinus,0.215,0.459,0.4265,0.4361,,2012036f-3679-4fa8-957a-5e2039d1058d
Pipistrellus nathusii,0.101,0.262,0.7765,0.796,,88187e64-5769-4ad1-88fa-306ff9b6ca40
Nyctalus leisleri,0.117,0.201,0.8165,0.8338,,5bac36a8-8445-4337-9343-fd730a1dedaa
Eptesicus serotinus,0.076,0.211,1.1095,1.1196,,498466f0-a3c5-4445-8b00-ed7293ead736
Eptesicus serotinus,0.111,0.239,1.4495,1.4597,,b2e4f5a8-ff00-458f-a7c9-d3604b741eaa
Pipistrellus nathusii,0.122,0.313,1.5355,1.5521,,da76b256-35c8-451d-a923-9a578ff32f9d
Eptesicus serotinus,0.136,0.327,1.5785,1.5894,,4f50f928-75bd-4ed4-9327-1c799a50dc89
Eptesicus serotinus,0.134,0.305,1.7065,1.7165,,acd80493-127e-476b-b516-01ec9346f864
Eptesicus serotinus,0.158,0.346,1.8355,1.847,,6ceade3b-d9b7-487e-9237-7bf7b72b4a6a
Eptesicus serotinus,0.142,0.285,1.9625,1.9747,,60e886ac-f3f3-410c-954e-708d639d3423
Eptesicus serotinus,0.085,0.233,2.0895,2.1003,,a24c99da-b88d-401e-a64a-e1c3b471d87c
Pipistrellus nathusii,0.11,0.207,2.1185,2.1349,,f3e9ed4c-89b1-4148-9ac8-7d4feb4312b5
Eptesicus serotinus,0.083,0.215,2.5165,2.5274,,7038a39f-e2d3-4bd3-a86e-1a256b488a7b
Eptesicus serotinus,0.082,0.222,2.6015,2.6138,,e2f53275-e7ea-4555-b9f3-df39168b676f
Pipistrellus nathusii,0.133,0.219,2.7295,2.7425,,c297f365-26cf-4943-a697-6e55b29fe86e
