species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Nyctalus leisleri,0.186,0.553,0.0435,0.055,,9e3d1bd4-35a7-43a1-bed1-5e6f6a44c433
Eptesicus serotinus,0.121,0.287,0.2985,0.3107,,a607ec39-e169-4669-9403-84e4eb83dded
Eptesicus serotinus,0.105,0.203,0.4265,0.4387,,cfb6ecc9-2679-4b7c-afb7-530b42381fd7
Eptesicus serotinus,0.146,0.206,0.5555,0.569,,815d446c-e491-4bae-b3a0-529420f75fbc
Eptesicus serotinus,0.15,0.278,0.5965,0.608,,c63b9788-68d7-47a4-924d-84bb64d043c8
Eptesicus serotinus,0.177,0.351,0.6825,0.6936,,a16e794c-16ed-4885-873f-b3f7f336d5b9
Eptesicus serotinus,0.186,0.325,0.7255,0.7352,,2d7343e7-fe14-408e-bc08-69fb81c8a1b1
Eptesicus serotinus,0.119,0.204,0.8105,0.8209,,baedfd07-8b81-48d8-b8d1-dd2431a4083e
Eptesicus serotinus,0.143,0.289,0.8525,0.8626,,1b8a9c03-62b7-4cd4-925f-1fdd9fccb6b8
Pipistrellus nathusii,0.125,0.321,0.9825,0.9989,,33125ac1-3001-4e86-95cb-24f2658c0c11
Eptesicus serotinus,0.09,0.214,1.0615,1.0761,,6899a03e-aa37-4913-9241-625e7556c533
Nyctalus leisleri,0.105,0.217,1.1495,1.1709,,ee8885d6-4ace-424b-b6c3-9bf083ed190b
Barbastellus barbastellus,0.079,0.213,1.3245,1.3342,,5ee99a61-ca1f-44f5-9ce9-8ecc55fa71d1
Eptesicus serotinus,0.11,0.228,1.8345,1.8464,,dc5d3f6a-91e8-435d-9a33-973f158ed9c8
Eptesicus serotinus,0.239,0.427,1.9635,1.9728,,536ba70c-53b0-43bc-bf54-e75d46d347df
Eptesicus serotinus,0.071,0.215,1.9865,2.0003,,7e031b4a-da24-4b9f-8ef4-4070b1a9942c
Eptesicus serotinus,0.164,0.278,2.0915,2.1003,,c94b1a68-208a-4026-8eca-2ab1d6f90f13
Eptesicus serotinus,0.201,0.397,2.2195,2.2273,,1a9e0638-121e-46f3-9078-1929c524765c
Pipistrellus nathusii,0.079,0.203,2.2495,2.2669,,90fb3156-3300-4aa3-98c0-7e9b929d6d22
Eptesicus serotinus,0.118,0.21,2.2965,2.3088,,ac5597fc-dcd9-4151-af84-c0b036716ee9
Eptesicus serotinus,0.23,0.5,2.3475,2.3568,,e7254193-79a7-4833-a18c-f783a9003892
Eptesicus serotinus,0.177,0.402,2.4765,2.4867,,7e6b9916-9a8e-4f3e-9819-9f21b4a0fb82
Eptesicus serotinus,0.179,0.322,2.6035,2.6132,,3ee946ad-d8f2-47af-9951-635bc9ee9dc7
Eptesicus serotinus,0.141,0.278,2.7305,2.7422,,f2ffdba1-9b5f-41a4-bb72-e5c8bd039d3c
Eptesicus serotinus,0.186,0.231,2.7755,2.785,,f6e018bf-a526-4393-af13-848fdf3ae670
Eptesicus serotinus,0.143,0.325,2.8595,2.8709,,5127f799-3b66-48e7-84ca-b522c7ed173a
Eptesicus serotinus,0.186,0.389,2.9005,2.9118,,467c272f-7cb1-4b54-a9c6-fb4329cd5b36
