species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.201,0.346,0.0435,0.0536,,b8149279-83d4-4366-bcee-45196eb3405b
Eptesicus serotinus,0.131,0.248,0.1705,0.1797,,178e4476-d734-4859-8404-08a544d12d41
Eptesicus serotinus,0.088,0.229,0.2975,0.3073,,bdb1dd00-1146-4bf5-9177-567b30ec0d8e
Eptesicus serotinus,0.108,0.269,0.7245,0.7346,,c32dc5fb-ccfa-4703-aaba-d33061ce2c9e
Nyctalus leisleri,0.073,0.221,1.1005,1.1175,,bb99d3f3-bc9c-4bb0-b7e3-f6838696fc60
Pipistrellus nathusii,0.126,0.325,1.2335,1.2471,,8342f9ad-85a5-483b-b6cf-7960284b8524
Eptesicus serotinus,0.16,0.279,1.4505,1.4623,,df9d7197-4919-4f23-b36a-e8047b34c8a4
Eptesicus serotinus,0.183,0.361,1.5785,1.5896,,4e0b83a5-ddbf-408d-bc2e-581bfe572fba
Eptesicus serotinus,0.163,0.238,1.9645,1.9758,,07e67389-36b8-45f3-9baa-e70d27a4a5b9
Pipistrellus nathusii,0.083,0.268,2.6495,2.666,,edceace3-0f0d-4ae3-9ab4-a3548a74406e
Eptesicus serotinus,0.136,0.353,2.8605,2.8747,,822238ff-08c0-48fe-9dd5-abac91651639
