species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.115,0.203,0.0435,0.0543,,cc613c4e-ac49-4c51-9e51-35da9f69699d
Nyctalus leisleri,0.106,0.242,0.1035,0.1203,,a3eece1b-39d4-4321-8436-735585a3db6c
Pipistrellus nathusii,0.094,0.291,0.1695,0.1792,,d7966f0c-721e-4c74-a124-d8a608e8008f
Eptesicus serotinus,0.114,0.2,0.4275,0.4373,,9d2dd687-92d8-427e-9a0d-8de546add8fe
Eptesicus serotinus,0.107,0.271,0.5555,0.5664,,ed57fe64-0d3c-4500-882b-dc650fb6ac9d
Pipistrellus nathusii,0.096,0.264,0.6335,0.6522,,1a31f24f-d0ca-465f-a2a5-39b67a8a7db8
Eptesicus serotinus,0.148,0.289,0.9385,0.9487,,6e86cb3e-d917-42ea-a006-ca1309c850f7
Eptesicus serotinus,0.194,0.363,1.1955,1.2046,,ff2fd4ff-1803-4370-b00b-2b869b3b62a2
Eptesicus serotinus,0.169,0.405,1.4515,1.4614,,b006f447-0cac-430d-b8b1-1342c79d8e6e
Eptesicus serotinus,0.153,0.326,1.5785,1.5902,,469f3d6d-d9f6-44a4-a400-c823419577ca
Pipistrellus nathusii,0.109,0.224,1.6825,1.7004,,996869b5-a8c7-4dd6-9504-231cff65357d
Eptesicus serotinus,0.114,0.222,1.7075,1.7178,,fe02395c-107e-4bcd-8c25-41cfa2cb11f8
Eptesicus serotinus,0.192,0.386,1.8785,1.8902,,79af2abc-85c0-4730-88a1-aceab9cf4f4b
Eptesicus serotinus,0.098,0.228,2.0915,2.1047,,f1b20e8d-b59a-4a88-8f7a-bbb83a5e0ae9
Eptesicus serotinus,0.184,0.318,2.1345,2.1436,,714e98aa-39f8-490d-a3ae-b26fb675f5f1
Eptesicus serotinus,0.2,0.345,2.2635,2.2748,,56786c7a-f18d-48a3-bec0-0a31b0fd8bd2
Pipistrellus nathusii,0.101,0.257,2.3315,2.3483,,268ef93b-9999-41a2-8544-be9905f7deeb
Eptesicus serotinus,0.137,0.31,2.4735,2.4855,,0e7e2f71-a67f-4ff1-a8b8-41b17b0fb48b
Nyctalus leisleri,0.244,0.527,2.6025,2.6121,,a8c9696c-e911-41fb-bba1-10f3e6f066ab
Eptesicus serotinus,0.233,0.468,2.7305,2.7406,,b6bfbff7-e494-476a-b10e-6d443db7470b
Eptesicus serotinus,0.147,0.346,2.8585,2.8698,,851cbe54-ade3-4a56-8ec4-2630143b8e50
