species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Pipistrellus nathusii,0.207,0.22,1.0325,1.0474,,6360640c-e00a-4092-9fe9-52271cdf6a5d
Pipistrellus nathusii,0.226,0.293,1.3225,1.3335,,9d45c99b-353a-4f12-a4cf-658a999655bb
Pipistrellus nathusii,0.18,0.212,1.4935,1.5048,,18df9151-3d2b-46d8-acab-61825daad389
Pipistrellus nathusii,0.275,0.301,2.3475,2.3593,,f2fab7b9-c493-4f6a-9155-05974fb41fae
Pipistrellus nathusii,0.197,0.378,2.7315,2.7439,,b2710d6b-951f-4925-89af-702d403523a4
