species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.123,0.318,0.0425,0.0542,,dac6eefa-14fd-43e5-bd3f-0f3597818ce7
Eptesicus serotinus,0.075,0.209,0.0855,0.0979,,66e7ed92-6333-4d11-9e00-af4f147d71f4
Eptesicus serotinus,0.205,0.461,0.1715,0.1824,,244b084f-fb8c-428e-9aa4-5b08533ae4f6
Nyctalus leisleri,0.249,0.491,0.2995,0.3104,,a7eb6327-58cc-4b59-ba9c-9c714a86cc7e
Eptesicus serotinus,0.102,0.203,0.4695,0.4808,,c25c4cea-f7e2-462e-81de-14fa2efc454b
Nyctalus leisleri,0.127,0.316,0.5555,0.5683,,3742c1c4-f485-4701-9aaf-7fc1b1793b7f
Pipistrellus nathusii,0.133,0.395,0.5965,0.6077,,e8e3b870-357e-4a83-8346-5916d4319568
Eptesicus serotinus,0.072,0.219,0.8465,0.8616,,44b36bf3-c324-4007-8c6c-487d9dfd87fb
Eptesicus serotinus,0.085,0.241,1.1585,1.1726,,f2d06ab9-9284-427d-941c-e96be0b41dc7
Eptesicus serotinus,0.1,0.24,1.3225,1.3327,,fcca5a86-de08-4ee0-a5ea-d6142d7146cc
Pipistrellus nathusii,0.094,0.255,1.4495,1.4601,,9e4663fe-626e-4c68-a7f5-033a24f78da1
Pipistrellus nathusii,0.152,0.311,1.4835,1.4992,,f1025c85-107c-4b23-96c2-89a5a4182325
Eptesicus serotinus,0.174,0.305,1.5785,1.5898,,421541b0-2c8e-4b03-922d-1a36039ee449
Eptesicus serotinus,0.117,0.276,1.8355,1.8466,,011f5485-1423-464f-b8df-8dc16f034213
Eptesicus serotinus,0.105,0.203,1.9635,1.9749,,c99f59b1-7d05-4925-b98d-28f1cc194673
Eptesicus serotinus,0.112,0.253,2.1345,2.1457,,52b12715-7fc0-4be9-a6eb-6dc1287e8232
Pipistrellus nathusii,0.107,0.304,2.2075,2.2219,,a1cf4f86-25c0-45e9-9337-d985e335e61a
Eptesicus serotinus,0.099,0.225,2.2615,2.2729,,386ffd95-200a-4a37-9988-8f82106b4ede
Eptesicus serotinus,0.112,0.243,2.6035,2.614,,30464d8e-9651-49c6-a48c-b43e82115b5d
Eptesicus serotinus,0.171,0.321,2.7105,2.7209,,b804cacc-182c-4f77-9ab8-222678b7d1a1
Eptesicus serotinus,0.16,0.316,2.7315,2.7419,,ccd9e6a2-df22-49ee-bb35-4de2f0a82864
Eptesicus serotinus,0.201,0.307,2.7555,2.7668,,5de9ab98-e1ab-4116-8e34-b87d460d5604
Eptesicus serotinus,0.267,0.486,2.8585,2.8677,,40aa4ad1-e186-4726-8215-2c68f9daebd4
Pipistrellus nathusii,0.17,0.382,2.9485,2.9616,,88c0c493-5c9b-43af-85dd-e8a85321a8f4
