species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.115,0.22,0.0855,0.096,,b0eed07e-092b-4120-800b-90eb094f1f96
Eptesicus serotinus,0.144,0.29,0.1705,0.1824,,2b96f19b-8628-4dee-89de-174fad3a0aa5
Pipistrellus nathusii,0.101,0.267,0.4155,0.434,,e86c721f-e72e-4405-9bac-9568a866cf40
Pipistrellus nathusii,0.085,0.246,0.4685,0.4788,,16f5c3fc-6fbb-44da-ad72-8ba0aee67bdf
Nyctalus leisleri,0.14,0.307,0.5975,0.6173,,48d8be2c-38c3-49c0-a0c5-9c73e0cbffd3
Eptesicus serotinus,0.116,0.228,0.6825,0.696,,b3914261-2795-4adc-8c01-9206d15ae362
Eptesicus serotinus,0.234,0.463,1.0665,1.0757,,1bd360a7-a74c-43b5-823d-2d0db689e835
Eptesicus serotinus,0.187,0.381,1.1955,1.2068,,b4604eb9-a8f0-4244-ac15-9aa350e695fb
Pipistrellus nathusii,0.087,0.223,1.2375,1.2558,,9e1b2317-e4a0-4d29-9d0d-d95e8745f1f9
Eptesicus serotinus,0.105,0.241,1.3225,1.3342,,1f83e38d-e8a0-4abe-afdd-5ae7728a6f1b
Eptesicus serotinus,0.145,0.337,1.4925,1.5031,,fb421477-aa0d-4dfe-b3a9-242f45fd2050
Eptesicus serotinus,0.153,0.326,1.7495,1.7593,,62a9846e-8cf7-4b51-ba9e-7e8203dd4077
Eptesicus serotinus,0.151,0.373,1.9275,1.9396,,58437fe5-6f85-4480-994c-4b985f7bc8c5
Eptesicus serotinus,0.106,0.222,1.9625,1.9744,,38221510-4f4a-438f-992b-3385ab87f8fe
Eptesicus serotinus,0.205,0.554,2.3475,2.359,,7b2f511a-1778-4b11-95ac-930bc69eae70
Eptesicus serotinus,0.231,0.39,2.4745,2.4832,,1ee3e3ff-76f9-4bbe-92ff-ad5f701ecea8
Eptesicus serotinus,0.279,0.571,2.6035,2.6138,,48c180d4-983c-4ba7-a6da-99383fdf2529
Eptesicus serotinus,0.142,0.249,2.7295,2.7428,,7c2aa6a0-670b-49aa-996e-2bd4c62eac50
Eptesicus serotinus,0.231,0.448,2.8595,2.8703,,b8eaef95-59f2-410e-b4d9-8a423f6f112d
