species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.19,0.308,0.2145,0.2227,,64825155-d6d8-48b0-acda-174f54697b73
Eptesicus serotinus,0.171,0.384,0.3395,0.3501,,a50e4588-ba5b-467f-9d81-4dfc812e05cd
Eptesicus serotinus,0.182,0.347,0.5975,0.6074,,ceb67e8c-9567-497a-bdb6-b13d51160ad5
Eptesicus serotinus,0.134,0.31,0.8115,0.8238,,65088e8d-7e9e-4d20-a7f6-e9b677d09d79
Eptesicus serotinus,0.2,0.307,1.0685,1.0795,,43d6ca4e-4d53-470b-b75c-ca018b50c820
Eptesicus serotinus,0.169,0.289,1.1955,1.2048,,e1f9e255-6958-44d2-b50f-5e5ce3a2821b
Eptesicus serotinus,0.157,0.307,1.3225,1.3315,,ff33931c-c5d8-4935-a097-459fe11563ca
Eptesicus serotinus,0.127,0.227,1.5785,1.5944,,33d9791d-abe7-44a5-9e37-7c9e50bb3c41
Pipistrellus nathusii,0.181,0.384,2.0055,2.0201,,f95813bc-06ff-40fa-b3c0-7d0938767a43
Pipistrellus nathusii,0.102,0.282,2.0905,2.1019,,523a7dec-0c30-477a-9b98-220768352ab1
Eptesicus serotinus,0.165,0.321,2.2185,2.2281,,e3f8f632-306c-40ff-9cff-4e2e19d26fdc
Eptesicus serotinus,0.194,0.336,2.3475,2.3568,,5496e8eb-ecc7-428a-a3f4-2ba9b3936f17
Pipistrellus nathusii,0.135,0.375,2.4765,2.489,,3b6b7c4e-42ba-48a5-9735-4fb52679a663
Barbastellus barbastellus,0.065,0.218,2.4965,2.5055,,4d070671-e657-41e0-83d6-bb0501a8a0a1
