species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.164,0.304,0.1705,0.1822,,99364232-8be7-4c93-a1b7-5ab957aed79d
Pipistrellus nathusii,0.097,0.227,0.6365,0.6522,,55f7a81b-2bb0-4750-aad9-8dbc3c806ba2
Pipistrellus nathusii,0.184,0.422,0.7245,0.7365,,d8cf4ccc-bf12-4be8-bda9-4c217ecadb8c
Eptesicus serotinus,0.202,0.402,1.0665,1.0768,,60ecfb40-edfc-4262-8d89-d7f2379c53b6
Eptesicus serotinus,0.066,0.22,1.1085,1.1211,,45845d35-5bed-4aa2-91d1-aa5cf3f907b0
Eptesicus serotinus,0.12,0.229,1.1945,1.2045,,121fe7de-1bee-4731-8ccc-b4bfc931b058
Eptesicus serotinus,0.216,0.316,1.3225,1.3323,,0befc836-474f-4c41-a9f8-00bfc75faddf
Eptesicus serotinus,0.147,0.253,1.5785,1.5901,,f25a6282-c482-46fb-9d78-7d0b10ac6259
Pipistrellus nathusii,0.107,0.231,1.7595,1.7762,,ab133896-4ba3-4718-b642-24c87cde682a
Nyctalus leisleri,0.108,0.276,1.8795,1.8987,,057d68c8-ce91-4901-baed-9541da30be10
Pipistrellus nathusii,0.132,0.237,1.9585,1.9741,,db8f6cf2-11fb-4ddd-b776-ccce89430fa0
Pipistrellus nathusii,0.1,0.307,2.2185,2.2307,,12f1161d-0eec-4b7d-b8b9-5da60f8270be
Eptesicus serotinus,0.094,0.266,2.2615,2.2744,,34926ff7-54bb-4322-aa61-1e0de7701431
Pipistrellus nathusii,0.191,0.342,2.4095,2.426,,32ec4246-aff4-4d5d-bc07-65067bfcb794
Nyctalus leisleri,0.138,0.299,2.9025,2.918,,a66ae54b-5df4-4ed6-9816-625fb26165a7
