species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Nyctalus leisleri,0.099,0.201,0.1245,0.1474,,bf6d7bd7-c951-4b45-94a6-02c258ee55df
Eptesicus serotinus,0.197,0.412,0.2765,0.2915,,a5ef8335-04fd-4592-897b-23156b1c6102
Eptesicus serotinus,0.102,0.205,0.4265,0.4362,,ce564db6-f124-46a0-9020-a998819e2aa0
Eptesicus serotinus,0.179,0.42,0.5555,0.5652,,9c790daf-2cc2-436f-97ac-b9571e3c307a
Eptesicus serotinus,0.185,0.329,0.6835,0.6932,,66a9f619-90f0-4b3a-90c7-bae9ad07bfa1
Pipistrellus nathusii,0.179,0.394,0.7865,0.8032,,340139b2-22d8-4149-a7c1-fe5256547f6b
Pipistrellus nathusii,0.07,0.244,0.8535,0.8635,,e96f4989-dffa-41a4-b826-af925436056e
Eptesicus serotinus,0.148,0.251,1.0705,1.0814,,b4ea075d-40f4-4968-b1ee-0f8b1eab4143
Eptesicus serotinus,0.116,0.211,1.2375,1.2479,,ff502c5c-3309-43e3-b6b6-aea60b691f22
Eptesicus serotinus,0.085,0.207,1.5785,1.5903,,c4b79527-6e02-4138-852a-aa02eef8f324
Pipistrellus nathusii,0.097,0.3,1.6205,1.6334,,93dfbea2-b803-4645-8dd4-1ece64f53c22
Eptesicus serotinus,0.222,0.349,1.7075,1.7178,,ac3cfc9d-9777-4a61-b359-9d1059c6bd2e
Eptesicus serotinus,0.196,0.427,1.8355,1.8453,,76e3f967-613b-4e89-8fad-5d2ebe4e3e0c
Eptesicus serotinus,0.114,0.216,1.9625,1.9716,,c449cef0-abe7-40ab-ae04-c1d1aa6c039d
Nyctalus leisleri,0.175,0.266,1.9925,2.0098,,d7eea294-635c-4823-b2e5-b6ee41ee3029
Eptesicus serotinus,0.231,0.51,2.0915,2.1007,,2eecfdf2-9a0a-42db-b0f7-5028f0387dc2
Barbastellus barbastellus,0.094,0.204,2.2185,2.2268,,78e2ba66-d9ce-4002-a197-d7e6fdffaf99
Pipistrellus nathusii,0.091,0.206,2.3215,2.3401,,fa2560ae-3605-4e93-8393-05480ccd9ab4
Eptesicus serotinus,0.132,0.386,2.3885,2.4003,,9d5f294c-efa1-4971-86c9-52e33d3c224a
Nyctalus leisleri,0.222,0.408,2.6485,2.667,,456c6f4b-13f1-41ed-97fd-7adcaf92de4b
