species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.131,0.258,0.1715,0.1813,,5a80c435-e7d4-4dbc-b675-2dc5d26fcd15
Eptesicus serotinus,0.165,0.359,0.2985,0.3095,,928b3f22-077e-469e-816a-6bf4c6a543bb
Eptesicus serotinus,0.161,0.514,0.4265,0.4381,,6605c006-5d55-41ae-bc85-2645742020e3
Pipistrellus nathusii,0.098,0.228,0.6815,0.6957,,92ff75f3-0f99-4ff4-aa7d-479b8e34bb4a
Pipistrellus nathusii,0.087,0.22,0.8525,0.8643,,ac3e6b57-f4ed-421f-a0e4-b11ea4e7f830
Pipistrellus nathusii,0.088,0.216,1.5575,1.5746,,3201eb12-a4ef-429b-93ac-1e51c4370564
Eptesicus serotinus,0.159,0.392,1.7075,1.7182,,91f7b984-dbd4-46b1-b2b2-6a28235740d0
Eptesicus serotinus,0.121,0.227,1.8355,1.8467,,f7b65edb-27c0-417e-8ccb-1e73780a5be2
Pipistrellus nathusii,0.158,0.201,2.1325,2.1453,,794ef8c0-2f31-487f-88fb-3ac61254819e
Pipistrellus nathusii,0.08,0.206,2.7305,2.745,,87aacc27-dd2d-463f-aa32-8143d0c1d2f6
Eptesicus serotinus,0.171,0.314,2.8595,2.8713,,f9aa3b59-db18-4ac3-bb05-2122d2f50bc6
