species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.221,0.442,0.0425,0.0523,,078cb994-ca1d-4d88-8360-c7bec21f39f9
Eptesicus serotinus,0.172,0.326,0.1705,0.1817,,0f73fe0c-874c-49d8-9224-3a9fddf9abaf
Eptesicus serotinus,0.167,0.309,0.2985,0.309,,2eaa1ddd-f3d7-4f46-ae86-9bc3d24feeac
Eptesicus serotinus,0.268,0.407,0.4275,0.4372,,1d11627b-4cde-47db-aa53-2c5bb7bacea2
Eptesicus serotinus,0.166,0.353,0.4675,0.4781,,f8a9d0dd-9db0-469a-95d4-483b2f0935ef
Eptesicus serotinus,0.174,0.326,0.5965,0.6065,,d21b3184-70d5-45fa-b60b-4e03ab0ae281
Eptesicus serotinus,0.144,0.33,0.6255,0.6371,,3816ef3d-dc9f-4c33-a757-ab0d613a4855
Nyctalus leisleri,0.137,0.34,0.6715,0.6887,,9a2c3f54-af2c-4c50-8cdc-388628353ebd
Pipistrellus nathusii,0.109,0.263,0.8525,0.8625,,9c411042-fe65-4216-9234-3f67f243d762
Eptesicus serotinus,0.074,0.216,0.9375,0.9491,,67f5be46-f636-4731-aa65-5eae045fa4d2
Eptesicus serotinus,0.091,0.232,0.9815,0.9911,,54b6ea1e-1581-4718-baea-cff879ab60e9
Nyctalus leisleri,0.117,0.398,1.0655,1.0764,,80765bfb-47c0-417e-a279-a131dad8157c
Eptesicus serotinus,0.17,0.306,1.3225,1.3333,,e0e31647-13a9-4e04-abed-3f9dbc273265
Nyctalus leisleri,0.082,0.2,1.3895,1.4111,,906517fd-1a31-4ee0-8e72-d4c95ec3a91d
Eptesicus serotinus,0.107,0.283,1.4495,1.4594,,a6d81b96-0f4b-4968-8a2e-702e2f5b6ee3
Eptesicus serotinus,0.214,0.391,1.5785,1.5895,,e8fbe93a-7cb6-4359-a39c-d2cdd9d03b22
Eptesicus serotinus,0.199,0.391,1.6915,1.7048,,e9451cf6-a202-42eb-9b91-23793c7c31c7
Nyctalus leisleri,0.231,0.494,1.8355,1.8475,,e6977758-0f1f-4a1d-abf3-58a53beaa101
Eptesicus serotinus,0.148,0.285,1.9625,1.9734,,28e4f319-e350-413b-96e0-0091b9f26b73
Eptesicus serotinus,0.139,0.217,2.0045,2.0158,,0d1dc545-fec2-4f38-a866-f73d82612a0b
Eptesicus serotinus,0.172,0.3,2.0895,2.1018,,16d832ac-212d-4719-8ffc-a4d039b59c52
Eptesicus serotinus,0.136,0.304,2.1325,2.1424,,2dcd6608-e8d0-426e-b2f8-213775b64b1c
Eptesicus serotinus,0.152,0.326,2.2595,2.2708,,44050bc5-9ed8-4d8f-aec9-69ccec716762
Eptesicus serotinus,0.099,0.238,2.3475,2.3603,,1f2d4ff6-9515-45f3-a461-07e04641e11d
Nyctalus leisleri,0.101,0.219,2.4765,2.4913,,1d09e261-6047-4bf1-aac0-cbce65aaa7fc
Nyctalus leisleri,0.232,0.369,2.7925,2.8112,,362f8cf2-e932-4860-ab89-3c94138e11bd
