species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.19,0.369,0.2145,0.227,,149d7d98-6c9b-4780-9869-c3d3341862bb
Nyctalus leisleri,0.088,0.222,0.2485,0.2676,,f4c5f8b1-f43e-4848-81e9-809ead7a3739
Eptesicus serotinus,0.097,0.229,0.6835,0.6947,,f4a3f963-574b-4d81-9851-6c2f1546af65
Eptesicus serotinus,0.073,0.228,0.8095,0.8222,,8dfe652a-6070-4b7b-be15-98e9d8b7fcb4
Pipistrellus nathusii,0.107,0.243,0.9615,0.9724,,d1cfed8b-c784-44b7-a33f-8f1b5249b716
Eptesicus serotinus,0.127,0.21,1.0675,1.0796,,58a82132-50c6-4241-a902-15ec5847340f
Eptesicus serotinus,0.154,0.281,1.1955,1.2056,,9d7b7e31-35de-4631-a22c-98edde6ae5f0
Eptesicus serotinus,0.139,0.223,1.7515,1.7626,,f533470e-5bda-46cd-82e6-4f1c2daeed32
Pipistrellus nathusii,0.109,0.244,1.9005,1.9192,,7a22b679-04fc-4f13-b974-7dc2093d83d2
Pipistrellus nathusii,0.086,0.209,2.0775,2.0939,,1d875e3c-ce14-43f8-a57c-4ea79e00a853
Nyctalus leisleri,0.163,0.496,2.1335,2.1448,,8fa79105-179a-460c-8671-1496e91ef22d
Eptesicus serotinus,0.132,0.324,2.2175,2.2275,,e406629e-d58a-4801-a0b7-ec526edd39ac
Eptesicus serotinus,0.15,0.3,2.3465,2.3552,,c9999866-b97d-4617-9bbd-03a6c8c67b4d
Nyctalus leisleri,0.234,0.527,2.6035,2.6131,,5aa3ac91-2ca7-4ddd-9926-9f085fae6c01
Eptesicus serotinus,0.167,0.308,2.8585,2.8709,,aca57ff5-4973-4837-be86-4b9ebd038c7e
Pipistrellus nathusii,0.121,0.306,2.8815,2.8947,,167f4fff-b4a1-4763-8362-d56bbf54875c
