species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Pipistrellus nathusii,0.172,0.473,0.0435,0.0547,,1e895e34-d77f-4d58-a378-30b03378007c
Pipistrellus nathusii,0.098,0.232,0.1635,0.1768,,69ab68d4-2369-4729-aa78-2c605b3f30cc
Eptesicus serotinus,0.105,0.211,0.2985,0.3106,,e4428ef0-6d27-4bf8-9786-f857f7d2f2c4
Pipistrellus nathusii,0.077,0.209,0.6325,0.6524,,b05d1bef-ea01-454f-a356-b36a09ec4c72
Eptesicus serotinus,0.103,0.204,1.0665,1.076,,f58ec97c-5385-4c93-9b2c-64cb570cdcf9
Nyctalus leisleri,0.207,0.461,1.3245,1.3357,,0cdbba3a-5769-4ac8-9b3a-ac3fe0e35f96
Eptesicus serotinus,0.132,0.312,1.4505,1.4621,,cb04f2a5-d1b0-449c-a15d-2858b54aee34
Eptesicus serotinus,0.103,0.243,1.7485,1.7598,,44aea3d6-838d-4997-9408-445f113e1539
Eptesicus serotinus,0.157,0.303,1.8775,1.887,,5d4c1853-caf0-4d47-8552-a2f301cc012d
Nyctalus leisleri,0.13,0.339,1.9005,1.9138,,ec42fb08-90d2-436e-8645-1c91e25535b9
Nyctalus leisleri,0.073,0.215,1.9325,1.9481,,b18b6c48-d441-4b40-9651-3e5b2593bd37
Pipistrellus nathusii,0.088,0.227,2.2135,2.2273,,3bc8f372-1ed2-4f38-83da-03af4384451c
Eptesicus serotinus,0.207,0.302,2.4745,2.4858,,d28aa85c-22ca-4d7c-ba9c-2fa8f8c4c1d8
Pipistrellus nathusii,0.178,0.376,2.5195,2.5331,,90c956e2-2e80-4203-a3fc-79c4913f5407
Eptesicus serotinus,0.097,0.22,2.5785,2.5924,,90f3a3a5-a46c-4691-aeac-81a5f6ca6016
Eptesicus serotinus,0.123,0.243,2.7315,2.7404,,7cbbca7c-1fa9-451d-80f5-3232bbb50a96
Nyctalus leisleri,0.096,0.241,2.7885,2.8068,,a6bc7abf-ecaf-43c2-9644-c76fea6e825a
Eptesicus serotinus,0.116,0.256,2.8595,2.8711,,440b22cb-eadd-4b59-bea5-1747a4270372
