species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.155,0.366,0.0845,0.0951,,82872a9c-3aae-4899-8058-8b553c697bc0
Pipistrellus nathusii,0.185,0.293,0.4255,0.4376,,eaa5c614-41f9-4a29-a88b-878b223c7736
Eptesicus serotinus,0.145,0.326,0.5565,0.566,,bfef190f-9062-4da5-94ef-f301d8e24809
Eptesicus serotinus,0.086,0.29,0.6815,0.6937,,0e4958b6-850b-4c89-bb78-57097befdbb2
Eptesicus serotinus,0.211,0.357,0.8115,0.8203,,31639877-ba1a-4f4a-afc6-5a0a185a84fe
Eptesicus serotinus,0.124,0.36,0.8985,0.91,,5c73cd2b-c88b-4a22-8ba4-3e3bc20c371e
Eptesicus serotinus,0.062,0.205,0.9385,0.9504,,a25a6249-98a1-4bc3-beff-db0d6dc3892b
Pipistrellus nathusii,0.12,0.23,0.9555,0.9739,,d3f55d9c-1c40-4ae7-9402-a3987860a8d0
Eptesicus serotinus,0.179,0.276,1.0675,1.0778,,972cf21c-987b-4698-a845-c08813a2e700
Eptesicus serotinus,0.102,0.212,1.1945,1.2055,,4f146ea8-5b76-44db-9326-f0760a59759b
Eptesicus serotinus,0.131,0.358,1.3645,1.3731,,214922ed-3288-4dc5-9223-f79462204b91
Eptesicus serotinus,0.07,0.21,1.4475,1.4629,,e23eecba-fff7-49bd-892e-7b5c6fa83626
Pipistrellus nathusii,0.077,0.201,1.5145,1.531,,c756fc04-c8b1-4028-92eb-4881e44b7620
Pipistrellus nathusii,0.096,0.209,1.7485,1.7657,,42738c53-a6be-470f-9d4d-d25a54161c1d
Pipistrellus nathusii,0.091,0.211,2.0055,2.0234,,512b5863-7fa8-4f2a-9604-38d6d1a9280c
Eptesicus serotinus,0.201,0.433,2.2195,2.23,,cc0b6ffc-7916-46ca-9a1b-786d5c1bb436
Eptesicus serotinus,0.176,0.367,2.3465,2.3574,,f85e8a36-2f54-4b11-9535-42cb2a8db6dc
Eptesicus serotinus,0.116,0.211,2.4745,2.4869,,1ff95d52-8a06-4291-9751-385313f94fc1
Eptesicus serotinus,0.182,0.377,2.6035,2.6135,,d591caad-2947-47ba-885e-5b0c43decc6e
Pipistrellus nathusii,0.094,0.276,2.7645,2.7783,,8ca2ff6a-6eb3-42ae-8983-2bf3e8eff6d2
Pipistrellus nathusii,0.075,0.241,2.8185,2.8297,,7b9daf66-edd3-49b0-b3d4-d718b30b41ad
Nyctalus leisleri,0.085,0.225,2.8935,2.9146,,2c4114bb-f447-4594-91e6-96987a25f9b2
Pipistrellus nathusii,0.097,0.257,2.9695,2.986,,c522ad83-dbd9-4938-b1b7-134c07b3a970
