species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.116,0.204,0.0485,0.0637,,80087e13-54c6-4464-a5ad-203a2da64c69
Pipistrellus nathusii,0.122,0.259,0.1535,0.1714,,f0f67abd-4de8-4d97-aadb-023f127a725b
Eptesicus serotinus,0.134,0.375,0.4255,0.436,,ba0c3a91-bc0b-4d7a-929a-34b7a3a90013
Eptesicus serotinus,0.113,0.265,0.5535,0.5647,,af7db543-3050-4368-8b50-b60fc515eb34
Pipistrellus nathusii,0.125,0.278,0.6815,0.6915,,a1911ff8-c159-45a7-967d-faac9d84e59f
Eptesicus serotinus,0.183,0.323,0.8105,0.8203,,065fe129-2337-4f0b-a1c8-910084f75113
Eptesicus serotinus,0.131,0.227,0.9435,0.9581,,2b44975e-2a30-46be-9b71-f4cabcd9fdb5
Eptesicus serotinus,0.157,0.415,1.0655,1.0751,,e3617055-16c2-45b6-ac58-3ec2f64ece61
Eptesicus serotinus,0.072,0.201,1.1945,1.2069,,c45e4bfb-f141-4374-8d28-eb1936c7e1da
Pipistrellus nathusii,0.097,0.204,1.6875,1.7059,,e41140af-a003-4f2a-959e-2cc6c6b7fdff
Pipistrellus nathusii,0.129,0.231,1.8205,1.8355,,79b85245-230d-4c31-a0f2-a46233cf2cb3
Eptesicus serotinus,0.095,0.237,1.9625,1.9718,,ff280415-8c7d-4b1a-9038-a79616b94e11
Eptesicus serotinus,0.119,0.355,2.0905,2.1005,,29d19253-b069-4221-8ad0-d5d2255bb9ec
Eptesicus serotinus,0.091,0.237,2.3455,2.3548,,6308a409-40b0-4a5f-8f8e-6d8b197882c2
