species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.095,0.311,0.0425,0.054,,97934db0-9357-420b-a5ec-8a470b475e17
Eptesicus serotinus,0.179,0.34,0.0855,0.095,,24791e2b-8431-4f74-ab79-42ac5f09a1e0
Eptesicus serotinus,0.161,0.352,0.1705,0.1806,,005844cb-a0bb-49f1-8cd8-0149e203a52a
Eptesicus serotinus,0.12,0.224,0.2145,0.2238,,dcd29d9f-b994-446a-b7a4-40d9c1f148b5
Nyctalus leisleri,0.152,0.251,0.2385,0.2558,,5c1a799e-c534-4d8d-a858-501043153493
Eptesicus serotinus,0.217,0.316,0.2995,0.3101,,5e80625c-b5ef-4c8f-a771-6863a14f359b
Eptesicus serotinus,0.182,0.345,0.3415,0.3515,,3654148f-f082-4191-82c4-05cd6073242a
Eptesicus serotinus,0.137,0.28,0.4685,0.4783,,a985a7e7-bf70-4c1f-b9f1-9056a092f5a5
Eptesicus serotinus,0.145,0.342,0.5965,0.606,,7fb3ce17-c18d-4b9b-bdd0-7c0143a99bc3
Eptesicus serotinus,0.201,0.285,0.6455,0.6552,,6b6c7767-a0e4-47ac-a737-e16839c52892
Eptesicus serotinus,0.158,0.245,0.6825,0.6932,,f7e1e8f0-53fe-4de6-af8a-fee61b8a48a4
Eptesicus serotinus,0.148,0.248,0.9385,0.9496,,07d2710c-3fda-48ee-a5f7-1299b299cf3d
Eptesicus serotinus,0.117,0.315,1.0665,1.0777,,81f71317-f638-4873-b5da-987bb3267d84
Eptesicus serotinus,0.134,0.235,1.1085,1.1197,,7131878b-62e2-4d6a-b14f-cb6b9f7cc0ae
Nyctalus leisleri,0.128,0.353,1.1475,1.1619,,572baf8e-da96-4298-99c9-06ffc35513c3
Eptesicus serotinus,0.192,0.316,1.1955,1.2042,,141f36b5-033b-4d5e-993a-bd8177ab3f94
Eptesicus serotinus,0.112,0.331,1.2365,1.2474,,3163fdc6-1612-4393-99ff-404fde80a870
Eptesicus serotinus,0.113,0.272,1.3085,1.3204,,7b9b689d-ebfb-4350-93c8-fb0b592d1b32
Eptesicus serotinus,0.063,0.226,1.3225,1.3322,,929bb444-a0e2-46dc-8aff-c9db630dcbd9
Eptesicus serotinus,0.093,0.205,1.4495,1.4627,,2124e2db-f333-4900-b16e-8a757acde353
Pipistrellus nathusii,0.077,0.228,1.8795,1.8961,,119dd120-2715-4b2e-a4c5-973edd10fe34
Pipistrellus nathusii,0.132,0.276,1.9165,1.9315,,663324d8-22de-4380-835f-3c68a18b2855
Eptesicus serotinus,0.211,0.337,2.3475,2.3567,,eff66b23-57e9-4d65-b1c4-23bc7ff6a9a5
Eptesicus serotinus,0.195,0.319,2.4755,2.4868,,53e75d9e-380e-4d1e-8619-63f5d9d402bd
Eptesicus serotinus,0.105,0.211,2.5305,2.5491,,25408795-1c26-44ae-9211-01d1eb42b3d5
Eptesicus serotinus,0.175,0.286,2.6035,2.6126,,a7f795ac-51d9-4b40-a649-8a77d4af7813
Nyctalus leisleri,0.121,0.343,2.6385,2.652,,8d1abfa3-dfd4-4ef5-ba2f-52cbec16aedc
Pipistrellus nathusii,0.103,0.227,2.7395,2.7545,,921dd807-57b1-40d0-9098-de1a92f0a63d
