species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Nyctalus leisleri,0.118,0.25,0.0475,0.0636,,398fcef5-0f41-481d-80f9-7646747101ad
Eptesicus serotinus,0.121,0.21,0.0855,0.0971,,34cba3c1-2495-4c15-89f0-19d54ab47314
Pipistrellus nathusii,0.093,0.313,0.2125,0.225,,1c92c076-bd36-4dc5-9cad-c52d2e6d88cf
Eptesicus serotinus,0.117,0.253,0.3405,0.3516,,fdb07bd0-dd58-4993-8a22-3f841d50e7b4
Eptesicus serotinus,0.135,0.395,0.4265,0.4394,,1457afe3-2f8a-4896-b121-5a41db1334d4
Eptesicus serotinus,0.147,0.229,0.5555,0.5666,,69d6c1e1-b84b-4ddb-a0d7-c23bec2dc486
Eptesicus serotinus,0.139,0.204,0.5975,0.6089,,57f2aa17-6011-41ec-8543-41ba49468b25
Eptesicus serotinus,0.156,0.436,0.8115,0.8225,,b39b84a2-dd40-426f-b713-9c6611a40f60
Eptesicus serotinus,0.128,0.21,0.8535,0.8645,,c705dd8b-8fe4-445d-b543-c3be48ab3ac6
Pipistrellus nathusii,0.194,0.449,1.0595,1.0728,,4272533a-b628-4ff2-ad2f-c0391e4e1778
Pipistrellus nathusii,0.099,0.212,1.1365,1.1525,,e6e87f9e-de65-4770-8069-269e0ba18643
Eptesicus serotinus,0.099,0.205,1.1955,1.2061,,b82688d5-c050-4232-938e-7e82c8c17bd9
Eptesicus serotinus,0.119,0.292,1.3665,1.3764,,d83b597f-6ff8-438e-902b-6ccae91f7c5f
Eptesicus serotinus,0.112,0.231,1.8355,1.8446,,62e87eee-a583-465c-81a8-9c22a71c0ab4
Eptesicus serotinus,0.191,0.357,1.9625,1.9736,,407f042d-a67a-4b6a-8804-55db1a31b21c
Eptesicus serotinus,0.182,0.343,2.0905,2.0991,,f16ac2fe-66d7-42f9-8892-2667bb4075e3
Eptesicus serotinus,0.194,0.354,2.2185,2.226,,725ea473-b97e-4e61-b717-37abe5c0733f
Eptesicus serotinus,0.206,0.391,2.3455,2.3565,,d29c78f8-5a2f-458a-8833-3220387ca32d
Eptesicus serotinus,0.103,0.224,2.4555,2.467,,2955626c-2a4e-4012-ae40-4d30b21d298d
Nyctalus leisleri,0.21,0.545,2.4755,2.488,,3061dd31-1d91-4915-93d5-7c9eb0da271a
Eptesicus serotinus,0.121,0.208,2.5165,2.5266,,3fde5609-20b6-4154-9dbe-4eb8e36d1ea9
