species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.134,0.254,0.1705,0.1806,,b06a22a1-200b-4107-bb9b-07b18fd10fe4
Eptesicus serotinus,0.137,0.248,0.2985,0.3073,,86cb2ab6-f262-43b7-9e30-c44ca6152d9f
Eptesicus serotinus,0.215,0.42,0.4275,0.4377,,a91c0b03-1d9f-4e79-9dbd-0458b993ee19
Eptesicus serotinus,0.164,0.307,0.5555,0.5656,,64b22951-4987-4e10-912c-32911ec2cc81
Eptesicus serotinus,0.115,0.248,0.6825,0.6938,,a6eabcc4-ad9c-4251-9ed7-4c9e4c52c06f
Pipistrellus nathusii,0.143,0.38,0.8105,0.8238,,cc768050-7551-41e0-bbb8-657b67b5a5b0
Eptesicus serotinus,0.104,0.26,0.8545,0.8683,,a8f2e98f-665f-4147-b49b-a85c81489d40
Eptesicus serotinus,0.097,0.214,0.8985,0.9116,,4034596c-e1d3-4244-9d12-79384940a4b6
Eptesicus serotinus,0.115,0.285,0.9805,0.9913,,ed994f9c-cec9-4f3f-b3e9-c768abb344eb
Eptesicus serotinus,0.121,0.332,1.4075,1.4196,,89c3bd7f-2a5c-4f91-a5a5-3cb03e3b63bf
Eptesicus serotinus,0.098,0.282,1.4925,1.5058,,ae861c29-e106-4582-be2b-c0fc9ce40491
Eptesicus serotinus,0.274,0.471,1.7065,1.7168,,0fd031b6-f604-48e1-b524-38bd88cb7765
Eptesicus serotinus,0.122,0.206,1.7495,1.7619,,f9d17075-52d5-4a9c-9994-d58a0e1651c2
Eptesicus serotinus,0.183,0.439,1.8335,1.8454,,f9a87a49-9dc2-44d2-a6b0-446b32993aa5
Eptesicus serotinus,0.22,0.416,1.9635,1.9743,,d4a63919-50e7-4c23-ac68-196b66c5db72
Eptesicus serotinus,0.129,0.284,2.0915,2.1028,,555d2db6-22b0-40b4-94e7-2b8244f8e008
Eptesicus serotinus,0.097,0.23,2.1325,2.1443,,54048a7b-4bbc-42a9-84ae-dfd877632339
Eptesicus serotinus,0.116,0.243,2.2485,2.2628,,aef566d6-fedc-43a5-9d89-ecbe820bb5c9
Pipistrellus nathusii,0.102,0.249,2.5175,2.529,,72f12c8f-c1c1-4c8d-837f-6bb73e096811
Nyctalus leisleri,0.133,0.275,2.9515,2.9721,,4a9f68e0-dced-4609-9336-8eb72cf16214
