species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Pipistrellus nathusii,0.124,0.266,0.0835,0.1001,,01279020-5076-4bab-b4f7-11ee68635ebe
Pipistrellus nathusii,0.08,0.238,0.2125,0.2243,,53973c80-2a5d-40e0-8a32-f38d15f91056
Eptesicus serotinus,0.21,0.521,0.5555,0.5654,,1fa5f935-b21e-4ae9-a51b-9fbcd578c3a9
Pipistrellus nathusii,0.089,0.212,0.5965,0.608,,9ba4d863-f70f-4cfe-956f-58c96aecbef7
Eptesicus serotinus,0.106,0.235,0.6825,0.6931,,2b4178a7-07fd-4e4c-846a-4029853183bf
Nyctalus leisleri,0.086,0.238,0.7955,0.8151,,c4f4574b-f8c6-4c89-8426-b3f693d998e1
Nyctalus leisleri,0.085,0.216,1.0015,1.0196,,1048aacf-1f03-410a-8bda-a76f2fdf5923
Pipistrellus nathusii,0.166,0.375,1.0935,1.1074,,a7fa468e-9455-4182-b05e-ad4afa7bc37c
Eptesicus serotinus,0.141,0.299,1.2365,1.2508,,e1f1bf4f-6c61-4cb1-a4d4-816112760160
Eptesicus serotinus,0.084,0.276,1.3645,1.3775,,2dca1b9b-c593-46b8-9c9b-8a618793e2f9
Eptesicus serotinus,0.11,0.233,1.4515,1.4626,,9a97b118-1cfc-4835-84fe-b94b77f67de0
Eptesicus serotinus,0.212,0.345,1.7065,1.717,,b71c751a-3d8e-4ace-99da-759be6917b5a
Eptesicus serotinus,0.175,0.333,1.7505,1.7624,,e52b9442-d7b0-44c5-bce1-5dc958ef1236
Eptesicus serotinus,0.238,0.489,1.8345,1.8447,,fc9036e2-356b-4017-9201-1433eba36ba5
Eptesicus serotinus,0.089,0.209,2.1335,2.1447,,05e9d7a6-6267-4706-80d8-f24674cfc655
Eptesicus serotinus,0.133,0.212,2.3905,2.3987,,95d6b879-e971-44f5-9297-ce0e1a416c6b
Eptesicus serotinus,0.208,0.468,2.7315,2.741,,cfff2eac-eefb-4c97-8695-da59c1fc0dad
Eptesicus serotinus,0.293,0.424,2.8595,2.8693,,4fb274fa-2b9e-4377-b752-63ab46df938d
Eptesicus serotinus,0.152,0.361,2.9565,2.967,,6b1ca3fb-1e28-4ed8-ac34-08d04f5fb9d2
