species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Nyctalus leisleri,0.182,0.443,0.0865,0.0976,,c21d689b-6a84-46ec-a348-29dcba6833d6
Eptesicus serotinus,0.08,0.22,0.2135,0.2262,,bca1a2d4-722a-457a-8e6a-7f445be65d91
Eptesicus serotinus,0.164,0.314,0.4275,0.4371,,a710db72-efee-4f15-bdb7-caf21c129b12
Eptesicus serotinus,0.174,0.265,0.5545,0.567,,689bd15c-9691-4b77-b7f6-1d99c64f206e
Eptesicus serotinus,0.202,0.495,0.6835,0.6936,,86f3f59a-4fa4-4b3b-ba25-fadde497b2a1
Pipistrellus nathusii,0.204,0.5,0.8105,0.8218,,2cbab37c-88aa-469b-b70a-d208d88ea4e5
Eptesicus serotinus,0.067,0.231,1.1095,1.1202,,6544bbd3-9987-49ed-9fdb-28a67e30773e
Eptesicus serotinus,0.111,0.211,1.3205,1.3326,,fda2985d-c756-44e3-992e-49a67b209f14
Pipistrellus nathusii,0.126,0.343,1.6215,1.6375,,c487a945-0a8b-450c-a9d3-4426e1f9ee14
Nyctalus leisleri,0.182,0.366,1.6725,1.689,,f476efb2-2d2d-4e99-ade7-36957e90c42a
Eptesicus serotinus,0.071,0.254,1.7055,1.7152,,6cd3c2e5-1b23-4c7c-880c-f2a30a3a3292
Pipistrellus nathusii,0.116,0.334,1.8335,1.8444,,121a940c-fe42-45b1-bfc2-f822d4ad1b00
Eptesicus serotinus,0.15,0.428,1.9625,1.9724,,5f503486-6e7d-4cf5-a98b-db1160cb6e71
Eptesicus serotinus,0.217,0.441,2.0905,2.0993,,4e0a1111-56ae-4d3f-93cc-fcadd41deaa3
Eptesicus serotinus,0.125,0.271,2.2185,2.2266,,9e2b14db-5bc2-40b9-8c2e-2b5e61a2bb56
Eptesicus serotinus,0.197,0.373,2.3905,2.4032,,1174fcf1-789a-47b7-8c05-87462db59b3d
