species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Pipistrellus nathusii,0.129,0.309,0.1485,0.1648,,dfd3193d-f6f6-4363-b8e3-4b1fbe639942
Nyctalus leisleri,0.088,0.267,0.1715,0.1873,,47257fdb-ee1a-461b-ae5f-3693377d8f28
Eptesicus serotinus,0.063,0.217,0.2565,0.2685,,f7af83d4-5443-4843-beec-98036f0a21d9
Eptesicus serotinus,0.207,0.473,0.4265,0.4362,,8b6ccf30-ded5-4c47-89d9-2c95449ebd83
Eptesicus serotinus,0.203,0.418,0.5555,0.5649,,b1a0cec6-1363-4b6d-9bf1-76f645414c64
Eptesicus serotinus,0.097,0.214,0.9385,0.9499,,da0de764-6c99-4193-aced-e025ffe25c7c
Eptesicus serotinus,0.072,0.209,1.1085,1.1198,,377443da-4e8d-48c3-91f8-9e2ffaa5cdfb
Eptesicus serotinus,0.116,0.267,1.2365,1.247,,da960fff-3a0c-4578-bf58-3c3f76eafbaa
Eptesicus serotinus,0.116,0.242,1.3655,1.3761,,d1c80707-e5a5-4e55-a1a4-49e848ecb1d0
Eptesicus serotinus,0.185,0.415,1.8335,1.8433,,d483026c-e96f-4976-9881-c38521162322
Eptesicus serotinus,0.184,0.403,2.0905,2.1006,,b366216a-5441-4385-8d20-98fc5d5ce244
