species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.075,0.238,0.0855,0.0977,,d443d282-c992-4168-bda6-c18c3fc0d5e2
Pipistrellus nathusii,0.11,0.229,0.3405,0.3589,,cb97e971-2804-43fe-a30c-d0aecd10e056
Eptesicus serotinus,0.108,0.207,0.6825,0.6942,,6f963cc1-2776-4e16-9778-d6c30ee7a468
Pipistrellus nathusii,0.187,0.45,0.8095,0.8216,,cd0f42c9-1e02-4d96-a807-ee59e79be044
Eptesicus serotinus,0.114,0.215,0.9395,0.9501,,a0982d90-eeae-4248-b082-ca0388bfde85
Eptesicus serotinus,0.11,0.223,1.0665,1.0782,,db1f8422-f8b9-4a64-87ec-0b8648165e49
Nyctalus leisleri,0.183,0.313,1.1775,1.1953,,341dad13-bd58-41d8-8162-cd72daf61a23
Eptesicus serotinus,0.061,0.219,1.2365,1.2467,,5bdbf1e2-86b4-464e-8978-454752e3b8dc
Pipistrellus nathusii,0.132,0.244,1.3645,1.3756,,6dc05ac9-eb9a-4367-aa72-b003b86e1d05
Eptesicus serotinus,0.185,0.4,2.2185,2.2289,,12ad9291-1d3a-4b37-aa23-f486799203ef
Pipistrellus nathusii,0.153,0.366,2.3465,2.3585,,19074eae-415f-4136-ad9d-b16177c4b107
Pipistrellus nathusii,0.067,0.217,2.3885,2.3997,,ebcb4257-e6f5-4996-8bd4-e64261792784
