species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Pipistrellus nathusii,0.139,0.368,0.2975,0.308,,dcd11017-0a95-48ed-9457-a935a1923015
Barbastellus barbastellus,0.053,0.203,0.4255,0.435,,c166db5d-3b4d-49b8-b040-6e4508d9f232
Eptesicus serotinus,0.166,0.449,0.5555,0.5654,,e9e2a45e-3a4a-4b70-a8d8-d32ded71fb95
Eptesicus serotinus,0.132,0.337,0.6815,0.6897,,7660753c-ce23-41a2-9030-96099f3b6650
Eptesicus serotinus,0.138,0.38,0.8105,0.8198,,61aae3d0-caa9-41c5-af5c-e46c8b309c07
Eptesicus serotinus,0.12,0.276,1.3645,1.3753,,f60424d5-472f-4e4f-bbac-bf832c315925
Nyctalus leisleri,0.101,0.327,1.4935,1.5057,,4c3bd9ec-282b-4cb8-88e0-541458a2ba39
Eptesicus serotinus,0.167,0.455,1.9625,1.9726,,eaac2d4b-aa9c-4308-80d4-967ce427935d
Eptesicus serotinus,0.136,0.357,2.0055,2.0173,,5dd3aaf8-b3ab-467b-9009-61ad74c1033f
Eptesicus serotinus,0.213,0.473,2.0905,2.1009,,cc721b76-e8c5-49e8-b739-133afb762f86
Pipistrellus nathusii,0.086,0.241,2.1955,2.209,,68406e11-7c4c-43b4-b3f5-5512f62ddfd8
