species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.147,0.317,0.0845,0.0956,,40185f16-751b-4e22-9a9b-dcdf92ad1615
Pipistrellus nathusii,0.091,0.241,0.2275,0.2416,,ec33d2f4-5fa4-4867-ade1-b1ff63e20d1c
Pipistrellus nathusii,0.145,0.2,0.4255,0.4386,,208b32d9-736c-4db3-aae8-20c83eb44d4c
Eptesicus serotinus,0.145,0.295,0.5545,0.5646,,621b6a6c-d356-40f3-a04f-45758e90596d
Eptesicus serotinus,0.148,0.289,0.8105,0.8189,,060a0a81-d5a7-4e34-9108-b7483266335e
Pipistrellus nathusii,0.098,0.209,0.9145,0.9298,,16b58f94-cab5-490f-9f05-c9417567d755
Eptesicus serotinus,0.164,0.349,1.0675,1.0779,,744e4603-5435-482a-9d06-91b78bf08fee
Eptesicus serotinus,0.114,0.205,1.3655,1.3767,,164c86ec-4948-4063-ad80-068aa30ed2b3
Nyctalus leisleri,0.163,0.456,1.6215,1.6352,,2942c25d-5db8-4f04-b67c-b0d90f1c02cf
Eptesicus serotinus,0.133,0.302,1.7485,1.7596,,02323f02-0e70-4c25-9d43-c30eae444c01
Eptesicus serotinus,0.16,0.322,2.0055,2.0165,,b6548cfd-b854-4e7c-901c-83cde163019b
Eptesicus serotinus,0.102,0.278,2.0315,2.0458,,d89e2300-7e7a-47e7-b34f-5b7cd3a121d8
Eptesicus serotinus,0.143,0.249,2.0885,2.1001,,9ef6b85d-d197-4611-bbff-be51e4d19dcf
Eptesicus serotinus,0.2,0.48,2.2195,2.2293,,234ce9e1-9b36-4228-9c1f-506f9725e16b
Eptesicus serotinus,0.109,0.216,2.2605,2.2714,,e4e0e428-d33d-40de-901f-3a0a25b7be9f
Eptesicus serotinus,0.131,0.266,2.4885,2.5034,,02370cdf-d142-45d7-9a1d-af7a7e4ea1a1
Pipistrellus nathusii,0.167,0.384,2.8565,2.8703,,b4eee2bf-81f3-4a8b-b523-ac839829fa4b
Eptesicus serotinus,0.113,0.225,2.9335,2.9515,,8125e3e7-852d-4af7-b978-137e9485139c
