species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Pipistrellus nathusii,0.127,0.246,0.0135,0.0319,,a1b50672-e967-4644-b8e5-856218979513
Eptesicus serotinus,0.093,0.222,0.2975,0.3067,,a982cd6c-c29f-4963-bd00-ee5448e9fec8
Pipistrellus nathusii,0.08,0.226,0.6585,0.6754,,31c2e243-745d-44aa-925b-cefcec0c04da
Pipistrellus nathusii,0.113,0.245,0.9385,0.9506,,5df2c81b-598d-4133-88f1-194f163f37b4
Eptesicus serotinus,0.196,0.476,1.4505,1.4603,,5ffddb78-2dff-4e08-8449-825406b82f44
Eptesicus serotinus,0.117,0.267,1.5785,1.5893,,a8ae58f4-fc73-46a9-9342-cd5bfaba7fe0
Eptesicus serotinus,0.125,0.243,1.8345,1.8451,,382dca67-6db3-4aeb-a04a-9a0f0f4e4a66
Pipistrellus nathusii,0.128,0.251,1.8765,1.8877,,023cb2db-2f88-4ef8-9b40-b189180e746b
Eptesicus serotinus,0.127,0.305,1.9625,1.9732,,95b766e5-0530-4e8a-959b-d82cb2bf5fbb
Pipistrellus nathusii,0.091,0.259,2.3455,2.3582,,4c06eb4d-860d-4117-9688-4ce23ec43151
Eptesicus serotinus,0.166,0.47,2.6015,2.6126,,50b07723-ea18-4662-ba3e-e360e5ca0009
Eptesicus serotinus,0.11,0.231,2.7305,2.7417,,b3d6c401-21f0-4c28-a305-2b8b7e58db15
Eptesicus serotinus,0.158,0.351,2.8575,2.8679,,1d4452d3-dec8-4e23-8b9a-1bcc9d4674e9
