species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.204,0.487,0.0415,0.0524,,38ab81cc-7efe-4b0b-b7a5-4601159a3afc
Eptesicus serotinus,0.088,0.217,0.1695,0.1796,,ee96f1cf-6e34-492f-a7af-db43eea92fd0
Eptesicus serotinus,0.102,0.229,0.2985,0.3087,,2a37fce3-995e-43f2-8957-21793d389cd6
Eptesicus serotinus,0.106,0.257,0.4685,0.4779,,573c2fdd-a48c-4197-9ba9-f67874c79db9
Eptesicus serotinus,0.14,0.257,0.7245,0.7337,,0550ea01-1197-4cd5-b235-fa8168e9c569
Eptesicus serotinus,0.128,0.205,1.0675,1.0785,,926b1eb3-75f5-494d-8a82-62b5302b6087
Eptesicus serotinus,0.1,0.243,1.1485,1.16,,ddd18623-9c53-4f0f-9583-6a80bad3f461
Eptesicus serotinus,0.108,0.222,1.1945,1.2057,,313d8f1b-c109-480e-8a6f-87b8b43c5f34
Eptesicus serotinus,0.142,0.296,1.3225,1.3331,,24e00f96-017e-44e9-a888-fa0b6026b959
Pipistrellus nathusii,0.091,0.288,1.4445,1.4597,,b48f23ea-0edb-4508-8d56-af68abc42402
Pipistrellus nathusii,0.074,0.205,1.4795,1.4951,,a8e9f77f-789f-45f4-8da5-094b173a8bfc
Eptesicus serotinus,0.108,0.285,1.5775,1.5881,,ba4306d3-fa03-4d90-ab5b-0905e5e9c867
Eptesicus serotinus,0.129,0.325,1.8345,1.847,,87068e45-d857-4504-a754-2ef7cf7e2244
Eptesicus serotinus,0.115,0.289,1.8775,1.8886,,b626ffa2-865f-4807-99df-b014e7ba53c2
Pipistrellus nathusii,0.199,0.431,2.0625,2.074,,cb0f23cc-6091-404d-a896-e896542ba04b
Pipistrellus nathusii,0.125,0.29,2.1745,2.1898,,9c8ef99d-87a7-40ea-9400-e023adace9e3
Eptesicus serotinus,0.112,0.295,2.3455,2.3569,,a64d5a9f-083e-4756-b4f5-3d12cde1a89b
Eptesicus serotinus,0.138,0.228,2.4745,2.4838,,60899cab-115a-4528-b4ee-82d4fa91a663
Eptesicus serotinus,0.131,0.264,2.6455,2.6576,,5034a583-6a96-4d00-8842-ae3581f3883a
Eptesicus serotinus,0.106,0.223,2.8595,2.8717,,89aad51a-7bec-478e-8351-a2dd41fca9b1
Pipistrellus nathusii,0.067,0.214,2.9005,2.912,,b10fb6a3-9811-40d6-9a16-a7a98086e135
